Nombre,Posicion,Equipo,Estado,% Titular,% Jugado,Forma Jugado,Promedio Picas,Promedio Sofas,Promedio Media,Total Puntos Medias,Forma Puntos Medias,Valor [En miles],Comparativo
Federico Fernández,DF,Elche,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1310.0,0.0
Rubén Sánchez,MC,Espanyol,Disponible,67%,67%,2,6.0,5.0,5.5,11.0,11.0,2320.0,2.371
Tino Kadewere,DL,Mallorca,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1660.0,0.0
Gayà,DF,Valencia,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,3150.0,0.0
Pastore,MC,Elche,Disponible,0%,33%,1,0.0,1.0,1.0,1.0,1.0,200.0,5.0
Anuar,MC,Real Valladolid,Disponible,67%,67%,2,6.0,7.5,7.0,14.0,14.0,1450.0,4.828
Camarasa,MC,Betis,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Lázaro,DL,Almería,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1910.0,0.0
Puado,DL,Espanyol,Disponible,33%,67%,2,6.0,2.5,4.5,9.0,9.0,2020.0,2.228
Budimir,DL,Osasuna,Disponible,33%,67%,2,4.0,4.0,4.5,9.0,9.0,2940.0,1.531
Rubén García,MC,Osasuna,Disponible,0%,67%,2,2.0,4.0,3.5,7.0,7.0,2600.0,1.346
Asensio,DL,Real Madrid,Disponible,0%,33%,1,0.0,3.0,2.0,2.0,2.0,1400.0,1.429
Abdul Mumin,DF,Rayo Vallecano,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1190.0,0.0
Lo Celso,MC,Villarreal,Disponible,67%,67%,2,4.0,4.5,4.5,9.0,9.0,6620.0,0.68
Iñaki Peña,PT,Barcelona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,160.0,0.0
Sabaly,DF,Betis,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1360.0,0.0
Ander Iru,PT,Athletic,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Denis Suárez,MC,Celta,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0
Marcão,DF,Sevilla,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1980.0,0.0
Pol Lozano,MC,Espanyol,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Cala,DF,Cádiz CF,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Marko Milovanović,DL,Almería,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,230.0,0.0
Iván Martos,DF,Almería,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
