Nombre,Posicion,Equipo,Estado,% Titular,% Jugado,Forma Jugado,Promedio Picas,Promedio Sofas,Promedio Media,Total Puntos Medias,Forma Puntos Medias,Valor [En miles],Comparativo
Sergio Herrera,PT,Osasuna,Disponible,100%,100%,3,2.0,3.6666666666666665,3.0,9.0,9.0,3030.0,0.99
David García,DF,Osasuna,Disponible,100%,100%,3,4.666666666666667,5.0,5.333333333333333,16.0,16.0,5210.0,1.024
Juan Cruz,DF,Osasuna,Disponible,100%,100%,3,3.3333333333333335,3.3333333333333335,3.6666666666666665,11.0,11.0,1280.0,2.865
Rubén Peña,DF,Osasuna,Lesionado,100%,100%,3,4.666666666666667,4.666666666666667,5.0,15.0,15.0,2620.0,1.908
Unai García,DF,Osasuna,Disponible,100%,100%,3,3.3333333333333335,4.666666666666667,4.333333333333333,13.0,13.0,1540.0,2.814
Aimar Oroz,MC,Osasuna,Disponible,100%,100%,3,7.0,4.666666666666667,6.0,18.0,18.0,3370.0,1.78
Kike Barja,MC,Osasuna,Disponible,33%,67%,2,2.0,1.5,2.0,4.0,4.0,470.0,4.255
Moi Gómez,MC,Osasuna,Disponible,100%,100%,3,6.0,6.333333333333333,6.333333333333333,19.0,19.0,4810.0,1.317
Moncayola,MC,Osasuna,Disponible,100%,100%,3,3.3333333333333335,4.333333333333333,4.333333333333333,13.0,13.0,3780.0,1.146
Torró,MC,Osasuna,Disponible,100%,100%,3,4.666666666666667,3.6666666666666665,4.333333333333333,13.0,13.0,3170.0,1.367
Chimy Ávila,DL,Osasuna,Disponible,100%,100%,3,6.666666666666667,7.0,7.0,21.0,21.0,7630.0,0.917
Nacho Vidal,DF,Osasuna,Disponible,33%,100%,3,2.0,3.0,2.6666666666666665,8.0,8.0,2070.0,1.288
Brasanac,MC,Osasuna,Disponible,0%,67%,2,2.0,4.0,3.0,6.0,6.0,1120.0,2.679
Manu Sánchez,DF,Osasuna,Disponible,0%,67%,2,2.0,3.5,3.0,6.0,6.0,1360.0,2.206
Pablo Ibáñez,MC,Osasuna,Disponible,0%,33%,1,2.0,3.0,3.0,3.0,3.0,160.0,18.75
Kike García,DL,Osasuna,Disponible,0%,100%,3,4.333333333333333,5.666666666666667,5.0,15.0,15.0,2190.0,2.283
Bono,PT,Sevilla,Disponible,100%,100%,3,4.666666666666667,2.3333333333333335,3.6666666666666665,11.0,11.0,4720.0,0.777
Acuña,DF,Sevilla,Disponible,67%,67%,2,3.0,6.0,4.5,9.0,9.0,3830.0,1.175
Jesús Navas,DF,Sevilla,Disponible,67%,67%,2,0.0,0.5,0.5,1.0,1.0,2550.0,0.196
Rekik,DF,Sevilla,Lesionado,100%,100%,3,3.6666666666666665,5.0,4.666666666666667,14.0,14.0,2180.0,2.141
Fernando,MC,Sevilla,Disponible,100%,100%,3,0.6666666666666666,5.333333333333333,3.3333333333333335,10.0,10.0,4310.0,0.773
Gudelj,MC,Sevilla,Disponible,33%,33%,1,-2.0,4.0,1.0,1.0,1.0,270.0,3.704
Papu Gómez,MC,Sevilla,Disponible,100%,100%,3,3.3333333333333335,5.333333333333333,4.666666666666667,14.0,14.0,4780.0,0.976
Tecatito,MC,Sevilla,Lesionado,33%,33%,1,-2.0,2.0,0.0,0.0,0.0,2430.0,0.0
Thomas Delaney,MC,Sevilla,Disponible,33%,67%,2,2.0,4.0,3.5,7.0,7.0,1020.0,3.431
Rafa Mir,DL,Sevilla,Disponible,100%,100%,3,3.0,3.6666666666666665,3.6666666666666665,11.0,11.0,3960.0,0.926
Erik Lamela,MC,Sevilla,Disponible,67%,100%,3,2.0,3.6666666666666665,3.0,9.0,9.0,3120.0,0.962
En-Nesyri,DL,Sevilla,Disponible,0%,100%,3,0.6666666666666666,2.3333333333333335,1.6666666666666667,5.0,5.0,3230.0,0.516
Alex Telles,DF,Sevilla,Disponible,33%,100%,3,2.0,3.6666666666666665,3.3333333333333335,10.0,10.0,2950.0,1.13
Rakitic,MC,Sevilla,Disponible,0%,67%,2,0.0,2.5,1.5,3.0,3.0,2330.0,0.644
Marchesín,PT,Celta,Disponible,100%,100%,3,3.3333333333333335,2.3333333333333335,3.0,9.0,9.0,2940.0,1.02
Aidoo,DF,Celta,Disponible,100%,100%,3,2.0,3.0,2.6666666666666665,8.0,8.0,1650.0,1.616
Galán,DF,Celta,Disponible,100%,100%,3,6.0,2.6666666666666665,4.333333333333333,13.0,13.0,5550.0,0.781
Hugo Mallo,DF,Celta,Disponible,100%,100%,3,3.3333333333333335,2.6666666666666665,3.0,9.0,9.0,2410.0,1.245
Unai Núñez,DF,Celta,Disponible,100%,100%,3,3.3333333333333335,4.0,4.0,12.0,12.0,2490.0,1.606
Augusto Solari,MC,Celta,Disponible,33%,67%,2,2.0,3.5,3.0,6.0,6.0,380.0,7.895
Fran Beltrán,MC,Celta,Disponible,100%,100%,3,4.666666666666667,3.3333333333333335,4.0,12.0,12.0,3310.0,1.208
Óscar,MC,Celta,Disponible en observación,100%,100%,3,3.3333333333333335,5.0,4.333333333333333,13.0,13.0,3760.0,1.152
Franco Cervi,DL,Celta,Disponible,100%,100%,3,2.0,3.6666666666666665,3.0,9.0,9.0,1920.0,1.562
Gonçalo Paciência,DL,Celta,Lesionado,67%,100%,3,5.666666666666667,4.666666666666667,5.333333333333333,16.0,16.0,3640.0,1.465
Iago Aspas,DL,Celta,Disponible,100%,100%,3,11.666666666666666,10.0,11.333333333333334,34.0,34.0,16240.0,0.698
Tapia,MC,Celta,Disponible,67%,100%,3,2.0,4.0,3.0,9.0,9.0,1330.0,2.256
Carles Pérez,DL,Celta,Disponible,33%,100%,3,2.0,3.6666666666666665,3.3333333333333335,10.0,10.0,2700.0,1.235
Mingueza,DF,Celta,Disponible,0%,33%,1,-2.0,-6.0,-4.0,-4.0,-4.0,1050.0,-3.81
Lecomte,PT,Espanyol,Disponible,100%,100%,3,-1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,2140.0,0.0
Brian Olivan,DF,Espanyol,Disponible,100%,100%,3,3.3333333333333335,3.0,3.3333333333333335,10.0,10.0,1510.0,2.208
Cabrera,DF,Espanyol,Disponible,100%,100%,3,2.0,4.666666666666667,3.6666666666666665,11.0,11.0,2550.0,1.438
Calero,DF,Espanyol,Disponible,67%,100%,3,2.0,3.6666666666666665,3.0,9.0,9.0,680.0,4.412
Óscar Gil,DF,Espanyol,Disponible,100%,100%,3,2.0,1.0,1.6666666666666667,5.0,5.0,1270.0,1.312
Sergi Gómez,DF,Espanyol,Disponible,67%,67%,2,-3.0,-1.0,-1.5,-3.0,-3.0,860.0,-1.744
Darder,MC,Espanyol,Disponible,100%,100%,3,4.666666666666667,5.333333333333333,5.0,15.0,15.0,5650.0,0.885
Nicolás Melamed,MC,Espanyol,Disponible,67%,100%,3,2.6666666666666665,2.3333333333333335,2.6666666666666665,8.0,8.0,1530.0,1.743
Vinicius Souza,MC,Espanyol,Disponible,100%,100%,3,3.3333333333333335,4.333333333333333,4.0,12.0,12.0,2760.0,1.449
Joselu,DL,Espanyol,Disponible,100%,100%,3,6.666666666666667,8.666666666666666,8.0,24.0,24.0,9390.0,0.852
Edu Expósito,MC,Espanyol,Disponible,100%,100%,3,4.666666666666667,7.333333333333333,6.333333333333333,19.0,19.0,3840.0,1.649
Asenjo,PT,Real Valladolid,Disponible,67%,67%,2,0.0,-0.5,0.0,0.0,0.0,2300.0,0.0
El Yamiq,DF,Real Valladolid,Disponible,67%,67%,2,-1.0,5.5,2.5,5.0,5.0,1360.0,1.838
Escudero,DF,Real Valladolid,Disponible,100%,100%,3,0.6666666666666666,1.0,1.3333333333333333,4.0,4.0,1420.0,0.939
Joaquín Fernández,DF,Real Valladolid,Disponible,67%,100%,3,0.6666666666666666,2.0,1.6666666666666667,5.0,5.0,1180.0,1.412
Luis Pérez,DF,Real Valladolid,Disponible,100%,100%,3,3.3333333333333335,1.6666666666666667,2.6666666666666665,8.0,8.0,1520.0,1.754
Álvaro Aguado,MC,Real Valladolid,Disponible,100%,100%,3,3.3333333333333335,4.0,4.0,12.0,12.0,2310.0,1.732
Monchu,MC,Real Valladolid,Disponible,67%,100%,3,0.6666666666666666,2.6666666666666665,1.6666666666666667,5.0,5.0,1020.0,1.634
Roque Mesa,MC,Real Valladolid,Disponible,67%,100%,3,2.0,2.6666666666666665,2.6666666666666665,8.0,8.0,2320.0,1.149
Gonzalo Plata,DL,Real Valladolid,Disponible,33%,33%,1,2.0,2.0,2.0,2.0,2.0,2220.0,0.901
Sergio León,DL,Real Valladolid,Disponible,33%,100%,3,2.0,2.6666666666666665,2.6666666666666665,8.0,8.0,1070.0,2.492
Iván Sánchez,MC,Real Valladolid,Disponible,67%,100%,3,2.0,4.333333333333333,3.3333333333333335,10.0,10.0,1850.0,1.802
Kike Perez,MC,Real Valladolid,Disponible,67%,100%,3,3.3333333333333335,3.3333333333333335,3.6666666666666665,11.0,11.0,1010.0,3.63
Óscar Plano,MC,Real Valladolid,Disponible,0%,100%,3,3.3333333333333335,3.6666666666666665,3.6666666666666665,11.0,11.0,1290.0,2.842
Olaza,DF,Real Valladolid,Disponible,0%,67%,2,2.0,1.5,2.0,4.0,4.0,770.0,2.597
Rulli,PT,Villarreal,Disponible,100%,100%,3,7.333333333333333,9.666666666666666,8.666666666666666,26.0,26.0,5160.0,1.68
Albiol,DF,Villarreal,Disponible,100%,100%,3,4.666666666666667,5.0,5.0,15.0,15.0,4480.0,1.116
Foyth,DF,Villarreal,Lesionado,100%,100%,3,6.0,5.0,5.666666666666667,17.0,17.0,3810.0,1.487
Pau Torres,DF,Villarreal,Disponible,100%,100%,3,4.666666666666667,5.666666666666667,5.666666666666667,17.0,17.0,7020.0,0.807
Pedraza,DF,Villarreal,Disponible,100%,100%,3,4.666666666666667,6.0,5.333333333333333,16.0,16.0,3890.0,1.371
Coquelin,MC,Villarreal,Disponible,33%,100%,3,2.0,3.0,2.6666666666666665,8.0,8.0,1970.0,1.354
Étienne Capoue,MC,Villarreal,Disponible,100%,100%,3,4.666666666666667,4.666666666666667,5.0,15.0,15.0,4520.0,1.106
Parejo,MC,Villarreal,Disponible,100%,100%,3,3.3333333333333335,7.0,5.333333333333333,16.0,16.0,9700.0,0.55
Gerard Moreno,DL,Villarreal,Disponible,100%,100%,3,5.666666666666667,4.666666666666667,5.666666666666667,17.0,17.0,13870.0,0.409
Nicolas Jackson,DL,Villarreal,Disponible,67%,100%,3,5.666666666666667,5.0,5.666666666666667,17.0,17.0,3820.0,1.483
Yéremi Pino,DL,Villarreal,Disponible,100%,100%,3,5.666666666666667,5.0,5.666666666666667,17.0,17.0,5830.0,0.972
Álex Baena,MC,Villarreal,Disponible,0%,100%,3,7.333333333333333,8.333333333333334,8.0,24.0,24.0,3750.0,2.133
Chukwueze,MC,Villarreal,Disponible,0%,100%,3,3.3333333333333335,4.0,4.0,12.0,12.0,3100.0,1.29
Morales,DL,Villarreal,Disponible,33%,100%,3,3.3333333333333335,2.3333333333333335,3.0,9.0,9.0,5310.0,0.565
Mandi,DF,Villarreal,Disponible,0%,33%,1,0.0,2.0,1.0,1.0,1.0,270.0,3.704
Ter Stegen,PT,Barcelona,Disponible,100%,100%,3,8.666666666666666,6.666666666666667,8.0,24.0,24.0,7000.0,1.143
Christensen,DF,Barcelona,Disponible,67%,67%,2,2.0,5.0,3.5,7.0,7.0,2680.0,1.306
Eric García,DF,Barcelona,Disponible,100%,100%,3,3.3333333333333335,5.666666666666667,5.0,15.0,15.0,2590.0,1.931
Jordi Alba,DF,Barcelona,Disponible,33%,67%,2,0.0,2.5,1.5,3.0,3.0,3480.0,0.431
Ronald Araújo,DF,Barcelona,Disponible,100%,100%,3,3.3333333333333335,3.3333333333333335,3.6666666666666665,11.0,11.0,7460.0,0.492
Busquets,MC,Barcelona,Disponible,67%,67%,2,0.5,5.0,3.0,6.0,6.0,5280.0,0.568
Gavi,MC,Barcelona,Disponible,100%,100%,3,3.3333333333333335,4.0,4.0,12.0,12.0,7950.0,0.503
Pedri,MC,Barcelona,Disponible,100%,100%,3,7.333333333333333,8.666666666666666,8.333333333333334,25.0,25.0,13930.0,0.598
Dembélé,DL,Barcelona,Disponible,100%,100%,3,5.666666666666667,9.666666666666666,8.0,24.0,24.0,13660.0,0.586
Lewandowski,DL,Barcelona,Disponible,100%,100%,3,11.333333333333334,13.333333333333334,12.333333333333334,37.0,37.0,20400.0,0.605
Raphinha,DL,Barcelona,Disponible,67%,100%,3,6.0,7.666666666666667,7.0,21.0,21.0,11220.0,0.624
Sergi Roberto,DF,Barcelona,Disponible,0%,100%,3,3.0,6.0,4.666666666666667,14.0,14.0,920.0,5.072
Frenkie De Jong,MC,Barcelona,Disponible,33%,100%,3,3.3333333333333335,5.0,4.333333333333333,13.0,13.0,3700.0,1.171
Ansu Fati,DL,Barcelona,Disponible,0%,100%,3,7.0,8.0,7.666666666666667,23.0,23.0,12790.0,0.599
Kessie,MC,Barcelona,Disponible,0%,100%,3,1.3333333333333333,2.6666666666666665,2.0,6.0,6.0,2980.0,0.671
Dimitrievski,PT,Rayo Vallecano,Disponible,100%,100%,3,6.0,5.666666666666667,6.333333333333333,19.0,19.0,3800.0,1.667
Catena,DF,Rayo Vallecano,Disponible,100%,100%,3,6.0,4.666666666666667,5.666666666666667,17.0,17.0,4470.0,1.268
Fran García,DF,Rayo Vallecano,Disponible,100%,100%,3,4.666666666666667,4.0,4.666666666666667,14.0,14.0,4300.0,1.085
Iván Balliu,DF,Rayo Vallecano,Disponible,100%,100%,3,3.3333333333333335,4.333333333333333,4.0,12.0,12.0,2830.0,1.413
Lejeune,DF,Rayo Vallecano,Disponible,67%,67%,2,0.5,-0.5,0.5,1.0,1.0,1560.0,0.321
Pathé Ciss,MC,Rayo Vallecano,Disponible,100%,100%,3,7.333333333333333,8.0,8.0,24.0,24.0,3780.0,2.116
Trejo,MC,Rayo Vallecano,Disponible,100%,100%,3,6.0,3.6666666666666665,5.0,15.0,15.0,5670.0,0.882
Unai López,MC,Rayo Vallecano,Disponible,100%,100%,3,4.666666666666667,3.0,4.0,12.0,12.0,2030.0,1.97
Álvaro García,DL,Rayo Vallecano,Disponible,100%,100%,3,6.0,4.333333333333333,5.333333333333333,16.0,16.0,7110.0,0.75
Isi Palazón,DL,Rayo Vallecano,Duda próximo partido,67%,67%,2,9.5,7.5,9.0,18.0,18.0,4890.0,1.84
Sergio Camello,DL,Rayo Vallecano,Disponible,67%,100%,3,3.3333333333333335,2.3333333333333335,3.0,9.0,9.0,1790.0,1.676
Óscar Valentín,MC,Rayo Vallecano,Disponible,33%,100%,3,3.3333333333333335,4.333333333333333,4.0,12.0,12.0,2330.0,1.717
Falcao,DL,Rayo Vallecano,Disponible,33%,100%,3,3.3333333333333335,2.0,3.0,9.0,9.0,2680.0,1.119
Salvi,MC,Rayo Vallecano,Disponible,33%,100%,3,1.3333333333333333,3.3333333333333335,2.3333333333333335,7.0,7.0,870.0,2.682
José Pozo,MC,Rayo Vallecano,Disponible,0%,67%,2,0.0,3.5,2.0,4.0,4.0,170.0,11.765
Ledesma,PT,Cádiz CF,Disponible,100%,100%,3,4.666666666666667,4.333333333333333,4.666666666666667,14.0,14.0,4180.0,1.116
Chust,DF,Cádiz CF,Disponible,67%,100%,3,-0.6666666666666666,2.6666666666666665,1.3333333333333333,4.0,4.0,1210.0,1.102
Fali,DF,Cádiz CF,Disponible,100%,100%,3,2.0,3.6666666666666665,3.0,9.0,9.0,1330.0,2.256
Luis Hernández,DF,Cádiz CF,Disponible,100%,100%,3,3.3333333333333335,5.0,4.333333333333333,13.0,13.0,3100.0,1.398
Pacha Espino,DF,Cádiz CF,Disponible,100%,100%,3,0.6666666666666666,1.3333333333333333,1.3333333333333333,4.0,4.0,3220.0,0.414
Santiago Arzamendia,DF,Cádiz CF,Disponible,100%,100%,3,0.6666666666666666,1.3333333333333333,1.3333333333333333,4.0,4.0,340.0,3.922
Zaldua,DF,Cádiz CF,Disponible,100%,100%,3,0.6666666666666666,2.3333333333333335,1.6666666666666667,5.0,5.0,1520.0,1.096
José Mari,MC,Cádiz CF,Disponible,67%,100%,3,-0.6666666666666666,2.3333333333333335,1.3333333333333333,4.0,4.0,430.0,3.101
Choco Lozano,DL,Cádiz CF,Disponible,100%,100%,3,-0.6666666666666666,1.6666666666666667,0.6666666666666666,2.0,2.0,1660.0,0.402
Lucas Pérez,DL,Cádiz CF,Disponible,67%,100%,3,-0.6666666666666666,2.0,1.0,3.0,3.0,2470.0,0.405
Awer Mabil,DL,Cádiz CF,Disponible,33%,100%,3,2.0,2.0,2.0,6.0,6.0,700.0,2.857
